#rango de variables usado
#p_cruce_val = [0.4, 0.5, 0.6, 0.7]
#p_mutacion_val = [ 0.7, 0.8, 0.9, 1]
#tamano_poblacion_val = [6, 8, 10, 12]
#n_elementos_p_inicial_val = [3, 4, 5, 6, 7, 8]

{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 6, 'tiempo': 6.563932180404663}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 7, 'tiempo': 6.946023225784302}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 8, 'tiempo': 5.894043445587158}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 3, 'tiempo': 6.766059637069702}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 4, 'tiempo': 6.270812749862671}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 5, 'tiempo': 6.211427450180054}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 6, 'tiempo': 6.831709384918213}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 7, 'tiempo': 6.251598596572876}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 10, 'n_elementos_p_inicial': 8, 'tiempo': 6.1632232666015625}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 3, 'tiempo': 6.355294942855835}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 4, 'tiempo': 5.591944217681885}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 5, 'tiempo': 6.7266685962677}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 6, 'tiempo': 7.027697801589966}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 7, 'tiempo': 7.730839967727661}
{'p_cruce': 0.5, 'p_mutacion': 0.8, 'tamano_poblacion': 12, 'n_elementos_p_inicial': 8, 'tiempo': 7.902231216430664}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 3, 'tiempo': 6.131486892700195}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 4, 'tiempo': 5.20968222618103}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 5, 'tiempo': 6.103182792663574}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 6, 'tiempo': 5.621686220169067}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 7, 'tiempo': 6.616023302078247}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 6, 'n_elementos_p_inicial': 8, 'tiempo': 5.495746374130249}
{'p_cruce': 0.5, 'p_mutacion': 0.9, 'tamano_poblacion': 8, 'n_elementos_p_inicial': 3, 'tiempo': 5.70154070854187}
